samp_date,cnt_date,sample,pres_fact,vol_set_ml,n_bugs,time_d
7/23/19,7/11/21,SJR1 site,0.901,2.5,24,1
7/24/19,9/16/21,SJR1 IC-1,0.909,25.0,24,1
7/24/19,9/17/21,SJR1 IC-2,0.911,25.0,24,1
7/24/19,9/20/21,SJR1 IC-3,0.909,28.0,24,1
7/25/19,9/2/21,SJR1 FC-1,0.919,18.0,24,1
7/25/19,9/7/21,SJR1 T24-1,0.918,22.0,24,1
7/25/19,9/8/21,SJR1 FC-2,0.917,22.5,24,1
7/25/19,9/10/21,SJR1 T24-2,0.917,22.0,24,1
7/25/19,9/13/21,SJR1 FC-3,0.917,25.0,24,1
7/25/19,9/15/21,SJR1 T24-3,0.906,25.0,24,1
7/30/19,11/18/21,YBP1 site,0.898,25.0,24,1
7/31/19,11/5/21,YBP1 IC-1,0.902,26.0,24,1
7/31/19,11/9/21,YBP1 IC-2,0.907,25.0,24,1
7/31/19,11/10/21,YBP1 IC-3,0.904,25.0,24,1
8/1/19,10/27/21,YBP1 FC-1,0.907,25.0,24,1
8/1/19,10/28/21,YBP1 T24-1,0.919,26.0,24,1
8/1/19,10/29/21,YBP1 FC-2,0.911,26.0,24,1
8/1/19,11/2/21,YBP1 T24-2,0.911,25.0,24,1
8/1/19,11/3/21,YBP1 FC-3,0.918,27.0,24,1
8/1/19,11/4/21,YBP1 T24-3,0.918,25.0,24,1
8/13/19,8/2/21,WLD2 site,0.902,5.0,24,1
8/14/19,10/1/21,WLD2 IC-1,0.917,26.0,24,1
8/14/19,10/5/21,WLD2 IC-2,0.907,25.0,24,1
8/14/19,10/6/21,WLD2 IC-3,0.915,25.0,24,1
8/15/19,9/22/21,WLD2 FC-1,0.904,24.0,24,1
8/15/19,9/23/21,WLD2 T24-1,0.906,26.0,24,1
8/15/19,9/24/21,WLD2 FC-2,0.906,25.0,24,1
8/15/19,9/28/21,WLD2 T24-2,0.906,25.0,24,1
8/15/19,9/29/21,WLD2 FC-3,0.909,25.0,24,1
8/15/19,9/30/21,WLD2 T24-3,0.907,27.0,24,1
8/18/19,8/3/21,LSZ2 site,0.902,5.5,24,1
8/19/19,10/21/21,LSZ2 IC-1,0.918,25.0,24,1
8/19/19,10/22/21,LSZ2 IC-2,0.918,25.0,24,1
8/19/19,10/26/21,LSZ2 IC-3,0.922,27.0,24,1
8/20/19,10/12/21,LSZ2 FC-1,0.917,25.0,24,1
8/20/19,10/13/21,LSZ2 T24-1,0.922,24.0,24,1
8/20/19,10/14/21,LSZ2 FC-2,0.912,25.0,24,1
8/20/19,10/15/21,LSZ2 T24-2,0.914,25.0,24,1
8/20/19,10/19/21,LSZ2 FC-3,0.914,25.0,24,1
8/20/19,10/20/21,LSZ2 T24-3,0.915,25.0,24,1
9/3/19,11/16/21,SJR2 site,0.889,25.0,24,1
9/4/19,11/18/21,SJR2 IC-1,0.915,25.0,24,1
9/4/19,11/19/21,SJR2 IC-2,0.919,25.0,24,1
9/4/19,11/21/21,SJR2 IC-3,0.917,25.0,24,1
9/5/19,11/11/21,SJR2 FC-1,0.915,25.0,24,1
9/5/19,11/12/21,SJR2 T24-1,0.915,25.0,24,1
9/5/19,11/14/21,SJR2 FC-2,0.914,25.0,24,1
9/5/19,11/15/21,SJR2 T24-2,0.919,25.0,24,1
9/5/19,11/16/21,SJR2 FC-3,0.918,25.0,24,1
9/5/19,11/17/21,SJR2 T24-3,0.917,25.0,24,1
9/17/19,7/10/21,YBP2 site,0.895,2.5,24,1
9/18/19,8/24/21,YBP2 IC-1,0.914,20.0,24,1
9/18/19,8/26/21,YBP2 IC-2,0.912,17.0,24,1
9/18/19,8/30/21,YBP2 IC-3,0.919,20.0,24,1
9/19/19,8/5/21,YBP2 FC-1,0.914,5.0,24,1
9/19/19,8/7/21,YBP2 T24-1,0.911,8.5,24,1
9/19/19,8/9/21,YBP2 FC-2,0.915,9.0,24,1
9/19/19,8/11/21,YBP2 T24-2,0.917,8.0,24,1
9/19/19,8/12/21,YBP2 FC-3,0.924,15.0,24,1
9/19/19,8/16/21,YBP2 T24-3,0.922,15.0,24,1